pid,task,quality,file
1f9475bb-f13b-4f68-969b-28f20455b3e7,Productive-Vocabulary-6,,/Users/rachelwang/Downloads/bids_with_sensitive_recordings/sub-1f9475bb-f13b-4f68-969b-28f20455b3e7/ses-CB8A74EE-0C8C-4B15-B322-D93A79ADB40A/audio/sub-1f9475bb-f13b-4f68-969b-28f20455b3e7_ses-CB8A74EE-0C8C-4B15-B322-D93A79ADB40A_Productive-Vocabulary_rec-Productive-Vocabulary-6.wav
1f9475bb-f13b-4f68-969b-28f20455b3e7,Random-Item-Generation,,/Users/rachelwang/Downloads/bids_with_sensitive_recordings/sub-1f9475bb-f13b-4f68-969b-28f20455b3e7/ses-CB8A74EE-0C8C-4B15-B322-D93A79ADB40A/audio/sub-1f9475bb-f13b-4f68-969b-28f20455b3e7_ses-CB8A74EE-0C8C-4B15-B322-D93A79ADB40A_Random-Item-Generation_rec-Random-Item-Generation.wav
1f9475bb-f13b-4f68-969b-28f20455b3e7,Audio-Check-1,,/Users/rachelwang/Downloads/bids_with_sensitive_recordings/sub-1f9475bb-f13b-4f68-969b-28f20455b3e7/ses-CB8A74EE-0C8C-4B15-B322-D93A79ADB40A/audio/sub-1f9475bb-f13b-4f68-969b-28f20455b3e7_ses-CB8A74EE-0C8C-4B15-B322-D93A79ADB40A_Audio-Check_rec-Audio-Check-1.wav
1f9475bb-f13b-4f68-969b-28f20455b3e7,Audio-Check-3,,/Users/rachelwang/Downloads/bids_with_sensitive_recordings/sub-1f9475bb-f13b-4f68-969b-28f20455b3e7/ses-CB8A74EE-0C8C-4B15-B322-D93A79ADB40A/audio/sub-1f9475bb-f13b-4f68-969b-28f20455b3e7_ses-CB8A74EE-0C8C-4B15-B322-D93A79ADB40A_Audio-Check_rec-Audio-Check-3.wav
1f9475bb-f13b-4f68-969b-28f20455b3e7,Maximum-phonation-time-3,,/Users/rachelwang/Downloads/bids_with_sensitive_recordings/sub-1f9475bb-f13b-4f68-969b-28f20455b3e7/ses-CB8A74EE-0C8C-4B15-B322-D93A79ADB40A/audio/sub-1f9475bb-f13b-4f68-969b-28f20455b3e7_ses-CB8A74EE-0C8C-4B15-B322-D93A79ADB40A_Maximum-phonation-time_rec-Maximum-phonation-time-3.wav
1f9475bb-f13b-4f68-969b-28f20455b3e7,Productive-Vocabulary-5,,/Users/rachelwang/Downloads/bids_with_sensitive_recordings/sub-1f9475bb-f13b-4f68-969b-28f20455b3e7/ses-CB8A74EE-0C8C-4B15-B322-D93A79ADB40A/audio/sub-1f9475bb-f13b-4f68-969b-28f20455b3e7_ses-CB8A74EE-0C8C-4B15-B322-D93A79ADB40A_Productive-Vocabulary_rec-Productive-Vocabulary-5.wav
1f9475bb-f13b-4f68-969b-28f20455b3e7,Respiration-and-cough-ThreeQuickBreaths-1,,/Users/rachelwang/Downloads/bids_with_sensitive_recordings/sub-1f9475bb-f13b-4f68-969b-28f20455b3e7/ses-CB8A74EE-0C8C-4B15-B322-D93A79ADB40A/audio/sub-1f9475bb-f13b-4f68-969b-28f20455b3e7_ses-CB8A74EE-0C8C-4B15-B322-D93A79ADB40A_Respiration-and-cough_rec-Respiration-and-cough-ThreeQuickBreaths-1.wav
1f9475bb-f13b-4f68-969b-28f20455b3e7,Glides-High-to-Low,,/Users/rachelwang/Downloads/bids_with_sensitive_recordings/sub-1f9475bb-f13b-4f68-969b-28f20455b3e7/ses-CB8A74EE-0C8C-4B15-B322-D93A79ADB40A/audio/sub-1f9475bb-f13b-4f68-969b-28f20455b3e7_ses-CB8A74EE-0C8C-4B15-B322-D93A79ADB40A_Glides_rec-Glides-High-to-Low.wav
1f9475bb-f13b-4f68-969b-28f20455b3e7,Productive-Vocabulary-4,,/Users/rachelwang/Downloads/bids_with_sensitive_recordings/sub-1f9475bb-f13b-4f68-969b-28f20455b3e7/ses-CB8A74EE-0C8C-4B15-B322-D93A79ADB40A/audio/sub-1f9475bb-f13b-4f68-969b-28f20455b3e7_ses-CB8A74EE-0C8C-4B15-B322-D93A79ADB40A_Productive-Vocabulary_rec-Productive-Vocabulary-4.wav
1f9475bb-f13b-4f68-969b-28f20455b3e7,Diadochokinesis-KA,,/Users/rachelwang/Downloads/bids_with_sensitive_recordings/sub-1f9475bb-f13b-4f68-969b-28f20455b3e7/ses-CB8A74EE-0C8C-4B15-B322-D93A79ADB40A/audio/sub-1f9475bb-f13b-4f68-969b-28f20455b3e7_ses-CB8A74EE-0C8C-4B15-B322-D93A79ADB40A_Diadochokinesis_rec-Diadochokinesis-KA.wav
1f9475bb-f13b-4f68-969b-28f20455b3e7,Maximum-phonation-time-2,,/Users/rachelwang/Downloads/bids_with_sensitive_recordings/sub-1f9475bb-f13b-4f68-969b-28f20455b3e7/ses-CB8A74EE-0C8C-4B15-B322-D93A79ADB40A/audio/sub-1f9475bb-f13b-4f68-969b-28f20455b3e7_ses-CB8A74EE-0C8C-4B15-B322-D93A79ADB40A_Maximum-phonation-time_rec-Maximum-phonation-time-2.wav
1f9475bb-f13b-4f68-969b-28f20455b3e7,Audio-Check-2,,/Users/rachelwang/Downloads/bids_with_sensitive_recordings/sub-1f9475bb-f13b-4f68-969b-28f20455b3e7/ses-CB8A74EE-0C8C-4B15-B322-D93A79ADB40A/audio/sub-1f9475bb-f13b-4f68-969b-28f20455b3e7_ses-CB8A74EE-0C8C-4B15-B322-D93A79ADB40A_Audio-Check_rec-Audio-Check-2.wav
1f9475bb-f13b-4f68-969b-28f20455b3e7,Respiration-and-cough-Cough-1,,/Users/rachelwang/Downloads/bids_with_sensitive_recordings/sub-1f9475bb-f13b-4f68-969b-28f20455b3e7/ses-CB8A74EE-0C8C-4B15-B322-D93A79ADB40A/audio/sub-1f9475bb-f13b-4f68-969b-28f20455b3e7_ses-CB8A74EE-0C8C-4B15-B322-D93A79ADB40A_Respiration-and-cough_rec-Respiration-and-cough-Cough-1.wav
1f9475bb-f13b-4f68-969b-28f20455b3e7,Picture-description,,/Users/rachelwang/Downloads/bids_with_sensitive_recordings/sub-1f9475bb-f13b-4f68-969b-28f20455b3e7/ses-CB8A74EE-0C8C-4B15-B322-D93A79ADB40A/audio/sub-1f9475bb-f13b-4f68-969b-28f20455b3e7_ses-CB8A74EE-0C8C-4B15-B322-D93A79ADB40A_Picture-description_rec-Picture-description.wav
1f9475bb-f13b-4f68-969b-28f20455b3e7,Respiration-and-cough-Cough-2,,/Users/rachelwang/Downloads/bids_with_sensitive_recordings/sub-1f9475bb-f13b-4f68-969b-28f20455b3e7/ses-CB8A74EE-0C8C-4B15-B322-D93A79ADB40A/audio/sub-1f9475bb-f13b-4f68-969b-28f20455b3e7_ses-CB8A74EE-0C8C-4B15-B322-D93A79ADB40A_Respiration-and-cough_rec-Respiration-and-cough-Cough-2.wav
1f9475bb-f13b-4f68-969b-28f20455b3e7,Glides-Low-to-High,,/Users/rachelwang/Downloads/bids_with_sensitive_recordings/sub-1f9475bb-f13b-4f68-969b-28f20455b3e7/ses-CB8A74EE-0C8C-4B15-B322-D93A79ADB40A/audio/sub-1f9475bb-f13b-4f68-969b-28f20455b3e7_ses-CB8A74EE-0C8C-4B15-B322-D93A79ADB40A_Glides_rec-Glides-Low-to-High.wav
1f9475bb-f13b-4f68-969b-28f20455b3e7,Story-recall,,/Users/rachelwang/Downloads/bids_with_sensitive_recordings/sub-1f9475bb-f13b-4f68-969b-28f20455b3e7/ses-CB8A74EE-0C8C-4B15-B322-D93A79ADB40A/audio/sub-1f9475bb-f13b-4f68-969b-28f20455b3e7_ses-CB8A74EE-0C8C-4B15-B322-D93A79ADB40A_Story-recall_rec-Story-recall.wav
1f9475bb-f13b-4f68-969b-28f20455b3e7,Diadochokinesis-TA,,/Users/rachelwang/Downloads/bids_with_sensitive_recordings/sub-1f9475bb-f13b-4f68-969b-28f20455b3e7/ses-CB8A74EE-0C8C-4B15-B322-D93A79ADB40A/audio/sub-1f9475bb-f13b-4f68-969b-28f20455b3e7_ses-CB8A74EE-0C8C-4B15-B322-D93A79ADB40A_Diadochokinesis_rec-Diadochokinesis-TA.wav
49d831ec-f348-43de-8202-15f659196b02,Picture-description,,/Users/rachelwang/Downloads/bids_with_sensitive_recordings/sub-49d831ec-f348-43de-8202-15f659196b02/ses-A69B9A56-359D-4035-82F0-39BC536AE509/audio/sub-49d831ec-f348-43de-8202-15f659196b02_ses-A69B9A56-359D-4035-82F0-39BC536AE509_Picture-description_rec-Picture-description.wav
49d831ec-f348-43de-8202-15f659196b02,Free-speech-2,,/Users/rachelwang/Downloads/bids_with_sensitive_recordings/sub-49d831ec-f348-43de-8202-15f659196b02/ses-A69B9A56-359D-4035-82F0-39BC536AE509/audio/sub-49d831ec-f348-43de-8202-15f659196b02_ses-A69B9A56-359D-4035-82F0-39BC536AE509_Free-speech_rec-Free-speech-2.wav
49d831ec-f348-43de-8202-15f659196b02,Diadochokinesis-buttercup,,/Users/rachelwang/Downloads/bids_with_sensitive_recordings/sub-49d831ec-f348-43de-8202-15f659196b02/ses-A69B9A56-359D-4035-82F0-39BC536AE509/audio/sub-49d831ec-f348-43de-8202-15f659196b02_ses-A69B9A56-359D-4035-82F0-39BC536AE509_Diadochokinesis_rec-Diadochokinesis-buttercup.wav
49d831ec-f348-43de-8202-15f659196b02,Respiration-and-cough-FiveBreaths-2,,/Users/rachelwang/Downloads/bids_with_sensitive_recordings/sub-49d831ec-f348-43de-8202-15f659196b02/ses-A69B9A56-359D-4035-82F0-39BC536AE509/audio/sub-49d831ec-f348-43de-8202-15f659196b02_ses-A69B9A56-359D-4035-82F0-39BC536AE509_Respiration-and-cough_rec-Respiration-and-cough-FiveBreaths-2.wav
49d831ec-f348-43de-8202-15f659196b02,Respiration-and-cough-FiveBreaths-3,,/Users/rachelwang/Downloads/bids_with_sensitive_recordings/sub-49d831ec-f348-43de-8202-15f659196b02/ses-A69B9A56-359D-4035-82F0-39BC536AE509/audio/sub-49d831ec-f348-43de-8202-15f659196b02_ses-A69B9A56-359D-4035-82F0-39BC536AE509_Respiration-and-cough_rec-Respiration-and-cough-FiveBreaths-3.wav
49d831ec-f348-43de-8202-15f659196b02,Free-speech-3,,/Users/rachelwang/Downloads/bids_with_sensitive_recordings/sub-49d831ec-f348-43de-8202-15f659196b02/ses-A69B9A56-359D-4035-82F0-39BC536AE509/audio/sub-49d831ec-f348-43de-8202-15f659196b02_ses-A69B9A56-359D-4035-82F0-39BC536AE509_Free-speech_rec-Free-speech-3.wav
49d831ec-f348-43de-8202-15f659196b02,Respiration-and-cough-FiveBreaths-1,,/Users/rachelwang/Downloads/bids_with_sensitive_recordings/sub-49d831ec-f348-43de-8202-15f659196b02/ses-A69B9A56-359D-4035-82F0-39BC536AE509/audio/sub-49d831ec-f348-43de-8202-15f659196b02_ses-A69B9A56-359D-4035-82F0-39BC536AE509_Respiration-and-cough_rec-Respiration-and-cough-FiveBreaths-1.wav
49d831ec-f348-43de-8202-15f659196b02,Respiration-and-cough-Cough-2,,/Users/rachelwang/Downloads/bids_with_sensitive_recordings/sub-49d831ec-f348-43de-8202-15f659196b02/ses-A69B9A56-359D-4035-82F0-39BC536AE509/audio/sub-49d831ec-f348-43de-8202-15f659196b02_ses-A69B9A56-359D-4035-82F0-39BC536AE509_Respiration-and-cough_rec-Respiration-and-cough-Cough-2.wav
49d831ec-f348-43de-8202-15f659196b02,Diadochokinesis-Pataka,,/Users/rachelwang/Downloads/bids_with_sensitive_recordings/sub-49d831ec-f348-43de-8202-15f659196b02/ses-A69B9A56-359D-4035-82F0-39BC536AE509/audio/sub-49d831ec-f348-43de-8202-15f659196b02_ses-A69B9A56-359D-4035-82F0-39BC536AE509_Diadochokinesis_rec-Diadochokinesis-Pataka.wav
49d831ec-f348-43de-8202-15f659196b02,Respiration-and-cough-FiveBreaths-4,,/Users/rachelwang/Downloads/bids_with_sensitive_recordings/sub-49d831ec-f348-43de-8202-15f659196b02/ses-A69B9A56-359D-4035-82F0-39BC536AE509/audio/sub-49d831ec-f348-43de-8202-15f659196b02_ses-A69B9A56-359D-4035-82F0-39BC536AE509_Respiration-and-cough_rec-Respiration-and-cough-FiveBreaths-4.wav
49d831ec-f348-43de-8202-15f659196b02,Respiration-and-cough-Breath-1,,/Users/rachelwang/Downloads/bids_with_sensitive_recordings/sub-49d831ec-f348-43de-8202-15f659196b02/ses-A69B9A56-359D-4035-82F0-39BC536AE509/audio/sub-49d831ec-f348-43de-8202-15f659196b02_ses-A69B9A56-359D-4035-82F0-39BC536AE509_Respiration-and-cough_rec-Respiration-and-cough-Breath-1.wav
49d831ec-f348-43de-8202-15f659196b02,Maximum-phonation-time-3,,/Users/rachelwang/Downloads/bids_with_sensitive_recordings/sub-49d831ec-f348-43de-8202-15f659196b02/ses-A69B9A56-359D-4035-82F0-39BC536AE509/audio/sub-49d831ec-f348-43de-8202-15f659196b02_ses-A69B9A56-359D-4035-82F0-39BC536AE509_Maximum-phonation-time_rec-Maximum-phonation-time-3.wav
49d831ec-f348-43de-8202-15f659196b02,Maximum-phonation-time-1,,/Users/rachelwang/Downloads/bids_with_sensitive_recordings/sub-49d831ec-f348-43de-8202-15f659196b02/ses-A69B9A56-359D-4035-82F0-39BC536AE509/audio/sub-49d831ec-f348-43de-8202-15f659196b02_ses-A69B9A56-359D-4035-82F0-39BC536AE509_Maximum-phonation-time_rec-Maximum-phonation-time-1.wav
49d831ec-f348-43de-8202-15f659196b02,Respiration-and-cough-Breath-2,,/Users/rachelwang/Downloads/bids_with_sensitive_recordings/sub-49d831ec-f348-43de-8202-15f659196b02/ses-A69B9A56-359D-4035-82F0-39BC536AE509/audio/sub-49d831ec-f348-43de-8202-15f659196b02_ses-A69B9A56-359D-4035-82F0-39BC536AE509_Respiration-and-cough_rec-Respiration-and-cough-Breath-2.wav
49d831ec-f348-43de-8202-15f659196b02,Caterpillar-Passage,,/Users/rachelwang/Downloads/bids_with_sensitive_recordings/sub-49d831ec-f348-43de-8202-15f659196b02/ses-A69B9A56-359D-4035-82F0-39BC536AE509/audio/sub-49d831ec-f348-43de-8202-15f659196b02_ses-A69B9A56-359D-4035-82F0-39BC536AE509_Caterpillar-Passage_rec-Caterpillar-Passage.wav
49d831ec-f348-43de-8202-15f659196b02,Diadochokinesis-TA,,/Users/rachelwang/Downloads/bids_with_sensitive_recordings/sub-49d831ec-f348-43de-8202-15f659196b02/ses-A69B9A56-359D-4035-82F0-39BC536AE509/audio/sub-49d831ec-f348-43de-8202-15f659196b02_ses-A69B9A56-359D-4035-82F0-39BC536AE509_Diadochokinesis_rec-Diadochokinesis-TA.wav
49d831ec-f348-43de-8202-15f659196b02,Glides-Low-to-High,,/Users/rachelwang/Downloads/bids_with_sensitive_recordings/sub-49d831ec-f348-43de-8202-15f659196b02/ses-A69B9A56-359D-4035-82F0-39BC536AE509/audio/sub-49d831ec-f348-43de-8202-15f659196b02_ses-A69B9A56-359D-4035-82F0-39BC536AE509_Glides_rec-Glides-Low-to-High.wav
49d831ec-f348-43de-8202-15f659196b02,Cape-V-sentences-2,,/Users/rachelwang/Downloads/bids_with_sensitive_recordings/sub-49d831ec-f348-43de-8202-15f659196b02/ses-A69B9A56-359D-4035-82F0-39BC536AE509/audio/sub-49d831ec-f348-43de-8202-15f659196b02_ses-A69B9A56-359D-4035-82F0-39BC536AE509_Cape-V-sentences_rec-Cape-V-sentences-2.wav
49d831ec-f348-43de-8202-15f659196b02,Free-Speech,,/Users/rachelwang/Downloads/bids_with_sensitive_recordings/sub-49d831ec-f348-43de-8202-15f659196b02/ses-A69B9A56-359D-4035-82F0-39BC536AE509/audio/sub-49d831ec-f348-43de-8202-15f659196b02_ses-A69B9A56-359D-4035-82F0-39BC536AE509_Free-Speech_rec-Free-Speech.wav
49d831ec-f348-43de-8202-15f659196b02,Audio-Check-4,,/Users/rachelwang/Downloads/bids_with_sensitive_recordings/sub-49d831ec-f348-43de-8202-15f659196b02/ses-A69B9A56-359D-4035-82F0-39BC536AE509/audio/sub-49d831ec-f348-43de-8202-15f659196b02_ses-A69B9A56-359D-4035-82F0-39BC536AE509_Audio-Check_rec-Audio-Check-4.wav
49d831ec-f348-43de-8202-15f659196b02,Cape-V-sentences-5,,/Users/rachelwang/Downloads/bids_with_sensitive_recordings/sub-49d831ec-f348-43de-8202-15f659196b02/ses-A69B9A56-359D-4035-82F0-39BC536AE509/audio/sub-49d831ec-f348-43de-8202-15f659196b02_ses-A69B9A56-359D-4035-82F0-39BC536AE509_Cape-V-sentences_rec-Cape-V-sentences-5.wav
49d831ec-f348-43de-8202-15f659196b02,Cape-V-sentences-4,,/Users/rachelwang/Downloads/bids_with_sensitive_recordings/sub-49d831ec-f348-43de-8202-15f659196b02/ses-A69B9A56-359D-4035-82F0-39BC536AE509/audio/sub-49d831ec-f348-43de-8202-15f659196b02_ses-A69B9A56-359D-4035-82F0-39BC536AE509_Cape-V-sentences_rec-Cape-V-sentences-4.wav
49d831ec-f348-43de-8202-15f659196b02,Respiration-and-cough-ThreeQuickBreaths-1,,/Users/rachelwang/Downloads/bids_with_sensitive_recordings/sub-49d831ec-f348-43de-8202-15f659196b02/ses-A69B9A56-359D-4035-82F0-39BC536AE509/audio/sub-49d831ec-f348-43de-8202-15f659196b02_ses-A69B9A56-359D-4035-82F0-39BC536AE509_Respiration-and-cough_rec-Respiration-and-cough-ThreeQuickBreaths-1.wav
49d831ec-f348-43de-8202-15f659196b02,Audio-Check-1,,/Users/rachelwang/Downloads/bids_with_sensitive_recordings/sub-49d831ec-f348-43de-8202-15f659196b02/ses-A69B9A56-359D-4035-82F0-39BC536AE509/audio/sub-49d831ec-f348-43de-8202-15f659196b02_ses-A69B9A56-359D-4035-82F0-39BC536AE509_Audio-Check_rec-Audio-Check-1.wav
49d831ec-f348-43de-8202-15f659196b02,Diadochokinesis-KA,,/Users/rachelwang/Downloads/bids_with_sensitive_recordings/sub-49d831ec-f348-43de-8202-15f659196b02/ses-A69B9A56-359D-4035-82F0-39BC536AE509/audio/sub-49d831ec-f348-43de-8202-15f659196b02_ses-A69B9A56-359D-4035-82F0-39BC536AE509_Diadochokinesis_rec-Diadochokinesis-KA.wav
49d831ec-f348-43de-8202-15f659196b02,Audio-Check-3,,/Users/rachelwang/Downloads/bids_with_sensitive_recordings/sub-49d831ec-f348-43de-8202-15f659196b02/ses-A69B9A56-359D-4035-82F0-39BC536AE509/audio/sub-49d831ec-f348-43de-8202-15f659196b02_ses-A69B9A56-359D-4035-82F0-39BC536AE509_Audio-Check_rec-Audio-Check-3.wav
49d831ec-f348-43de-8202-15f659196b02,Cape-V-sentences-6,,/Users/rachelwang/Downloads/bids_with_sensitive_recordings/sub-49d831ec-f348-43de-8202-15f659196b02/ses-A69B9A56-359D-4035-82F0-39BC536AE509/audio/sub-49d831ec-f348-43de-8202-15f659196b02_ses-A69B9A56-359D-4035-82F0-39BC536AE509_Cape-V-sentences_rec-Cape-V-sentences-6.wav
49d831ec-f348-43de-8202-15f659196b02,Glides-High-to-Low,,/Users/rachelwang/Downloads/bids_with_sensitive_recordings/sub-49d831ec-f348-43de-8202-15f659196b02/ses-A69B9A56-359D-4035-82F0-39BC536AE509/audio/sub-49d831ec-f348-43de-8202-15f659196b02_ses-A69B9A56-359D-4035-82F0-39BC536AE509_Glides_rec-Glides-High-to-Low.wav
49d831ec-f348-43de-8202-15f659196b02,Respiration-and-cough-ThreeQuickBreaths-2,,/Users/rachelwang/Downloads/bids_with_sensitive_recordings/sub-49d831ec-f348-43de-8202-15f659196b02/ses-A69B9A56-359D-4035-82F0-39BC536AE509/audio/sub-49d831ec-f348-43de-8202-15f659196b02_ses-A69B9A56-359D-4035-82F0-39BC536AE509_Respiration-and-cough_rec-Respiration-and-cough-ThreeQuickBreaths-2.wav
49d831ec-f348-43de-8202-15f659196b02,Audio-Check-2,,/Users/rachelwang/Downloads/bids_with_sensitive_recordings/sub-49d831ec-f348-43de-8202-15f659196b02/ses-A69B9A56-359D-4035-82F0-39BC536AE509/audio/sub-49d831ec-f348-43de-8202-15f659196b02_ses-A69B9A56-359D-4035-82F0-39BC536AE509_Audio-Check_rec-Audio-Check-2.wav
4464b02f-bee1-4b72-84e5-55700c8bbc67,Productive-Vocabulary-5,,/Users/rachelwang/Downloads/bids_with_sensitive_recordings/sub-4464b02f-bee1-4b72-84e5-55700c8bbc67/ses-AD71D502-11D0-4FF2-B88B-10BA2D86EC28/audio/sub-4464b02f-bee1-4b72-84e5-55700c8bbc67_ses-AD71D502-11D0-4FF2-B88B-10BA2D86EC28_Productive-Vocabulary_rec-Productive-Vocabulary-5.wav
4464b02f-bee1-4b72-84e5-55700c8bbc67,Productive-Vocabulary-4,,/Users/rachelwang/Downloads/bids_with_sensitive_recordings/sub-4464b02f-bee1-4b72-84e5-55700c8bbc67/ses-AD71D502-11D0-4FF2-B88B-10BA2D86EC28/audio/sub-4464b02f-bee1-4b72-84e5-55700c8bbc67_ses-AD71D502-11D0-4FF2-B88B-10BA2D86EC28_Productive-Vocabulary_rec-Productive-Vocabulary-4.wav
4464b02f-bee1-4b72-84e5-55700c8bbc67,Productive-Vocabulary-6,,/Users/rachelwang/Downloads/bids_with_sensitive_recordings/sub-4464b02f-bee1-4b72-84e5-55700c8bbc67/ses-AD71D502-11D0-4FF2-B88B-10BA2D86EC28/audio/sub-4464b02f-bee1-4b72-84e5-55700c8bbc67_ses-AD71D502-11D0-4FF2-B88B-10BA2D86EC28_Productive-Vocabulary_rec-Productive-Vocabulary-6.wav
4464b02f-bee1-4b72-84e5-55700c8bbc67,Random-Item-Generation,,/Users/rachelwang/Downloads/bids_with_sensitive_recordings/sub-4464b02f-bee1-4b72-84e5-55700c8bbc67/ses-AD71D502-11D0-4FF2-B88B-10BA2D86EC28/audio/sub-4464b02f-bee1-4b72-84e5-55700c8bbc67_ses-AD71D502-11D0-4FF2-B88B-10BA2D86EC28_Random-Item-Generation_rec-Random-Item-Generation.wav
